STT,Link Tiktok,Link Tiktok,ID Tiktok,Booking Expense,Segment,Category,Type,Cost,"Extra/FOC 
(SHDA + hashtag)","Tổng Cast 
(Đã bao gồm thuế)",Booking Expense,Followers,GMV / Month,Contact,Tình trạng hợp tác,MCN note ,,,   ,Link Tiktok,ID Tiktok,Booking Expense,Segment,Concept,Type,Followers,GMV / Month,Meta Ecom note,Brand Pick,Brand note,Khu vực,Product Focus
#REF!,https://www.tiktok.com/@lapiszuzu,,lapiszuzu,"27,000,000 ₫",Massive KOC,Beauty,Video,,,,0,97.5K,282.6M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@luumaianh_,,luumaianh_,,Massive KOC,Beauty,Video,,,,0,126.1K,159.58M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@_mailyi,,_mailyi,"13,000,000 ₫",Massive KOC,Beauty,Video,,,,0,38.2K,2.98M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@serenjournal_,,serenjournal_,,Massive KOC,Beauty,Video,,,,0,96.9K,52.78M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@nquin_ahh,,nquin_ahh,,Massive KOC,Beauty,Video,,,,0,"96,9K",124.14M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@gigigithebabe,,gigigithebabe,"35,000,000 ₫",Massive KOC,Beauty,Video,,,,0,110.4K,27.81M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@172tthuy,,172tthuy,"20,000,000 ₫",Massive KOC,Beauty,Video,,,,0,139.2K,5.94M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@uissnevadie,,uissnevadie,,Massive KOC,Beauty,Video,,,,0,148.5K,"5,92M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@glowupwkelly,,glowupwkelly,"15,000,000 ₫",Massive KOC,Beauty,Video,,,,0,136.9K,7.46M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@emtamdunggi,,emtamdunggi,"5,000,000 ₫",Massive KOC,Beauty,Video,,,,0,"35,7K",158.11M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@daolananhh_,,daolananhh_,,Massive KOC,Beauty,Video,,,,0,35.7K,2.04M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@iam.nathie,,iam.nathie,"2,000,000 ₫",Massive KOC,Beauty,Video,,,,0,59.1K,"11,57M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@im_jniii,,im_jniii,"1,500,000 ₫",Mini KOC,Beauty,Video,,,,0,17.7K,"8,83M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@ryune274,,ryune274,"8,500,000 ₫",Mini KOC,Beauty,Video,,,,0,16.3K,8.12M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@thanhvan.skincare,,thanhvan.skincare,"1,500,000 ₫",Mini KOC,Beauty,Video,,,,0,10K,0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@uyenb_592,,uyenb_592,"5,000,000 ₫",Mini KOC,Beauty,Video,,,,0,11.3K,6.61K,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@khueyeuu.daily,,khueyeuu.daily,"2,000,000 ₫",Mini KOC,Beauty,Video,,,,0,5470,3.42M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@bossbabycoconutt,,bossbabycoconutt,"1,800,000 ₫",Mini KOC,Beauty,Video,,,,0,10.1K,"2,38M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@vievlog_,,vievlog_,"4,000,000 ₫",Mini KOC,Beauty,Video,,,,0,17.4K,"45,48M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@obe.ruby,,obe.ruby,,Mini KOC,Beauty,Video,,,,0,"1,68K","766,66K",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@munbeobeo,,munbeobeo,,Mini KOC,Beauty,Video,,,,0,12.2K,"35,80M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@dogiangmacoday,,dogiangmacoday,"2,500,000 ₫",Mini KOC,Beauty,Video,,,,0,20.5K,"1,41M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@quynhanhdt.work,,quynhanhdt.work,"2,500,000 ₫",Mini KOC,Beauty,Video,,,,0,21.1K,0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hlta16,,hlta16,"8,000,000 ₫",Massive KOC,Beauty,,,,,0,"149,3K","669,27K",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@xinhngoaniuu99,,xinhngoaniuu99,,Mini KOC,Mom & baby,Video,,,,0,3329,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@betaplammee
",,betaplammee,,Mini KOC,Mom & baby,Video,,,,0,1667,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@chanmereview99,,chanmereview99,,Mini KOC,Beauty,Video,,,,0,5691,489.32M,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@hungmeskincare
",,"hungmeskincare
",,Mini KOC,Beauty,Video,,,,0,7349,476.95M,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@myaidayne.0
",,"myaidayne.0
",,Mini KOC,Beauty,Video,,,,0,2893,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@nhattao2020
",,"nhattao2020
",,Mini KOC,Beauty,Video,,,,0,1683,349.50M,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@embehellokittyyy
",,"embehellokittyyy
",,Massive KOC,Beauty,Video,,,,0,12.5K,343M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hunbeauty86,,hunbeauty86,,Mini KOC,Beauty,Video,,,,0,9815,55.4K,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@_cow.smile_
",,"_cow.smile_
",,Mini KOC,Beauty,Video,,,,0,8044,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@emma.onha
",,"emma.onha
",,Mini KOC,Beauty,Video,,,,0,2021,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mevacami,,mevacami,"2,000,000 ₫",Mini KOC,Mom & baby,Video,,,,0,5171,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@thaodahaicon,,thaodahaicon,"2,000,000 ₫",Mini KOC,Mom & baby,Video,,,,0,6503,17.33M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@phanhnguyy,,phanhnguyy,"7,500,000 ₫",Massive KOC,Mom & baby,Video,,,,0,20.1K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@thanhha.phung,,thanhha.phung,"1,000,000 ₫",Mini KOC,Mom & baby,Video,,,,0,4815,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@maibuilamme,,maibuilamme,"1,500,000 ₫",Mini KOC,Mom & baby,Video,,,,0,6451,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@nhunganhdaily,,nhunganhdaily,"800,000 ₫",Mini KOC,Mom & baby,Video,,,,0,1723,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@meankhang8386,,meankhang8386,"1,500,000 ₫",Mini KOC,Mom & baby,Video,,,,0,1283,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@meemcocaa,,meemcocaa,"7,000,000 ₫",Massive KOC,Mom & baby,Video,,,,0,36.8K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@timtimunin,,tintinunin,"5,500,000 ₫",Massive KOC,Mom & baby,Video,,,,0,44.8K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@emcami.diary,,emcami.diary,"900,000 ₫",Mini KOC,Mom & baby,Video,,,,0,1838,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mimiyeu2022,,mimiyeu2022,"4,000,000 ₫",Massive KOC,Mom & baby,Video,,,,0,29.8K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@tintinunin,,tintinunin,"5,500,000 ₫",Massive KOC,Mom & baby,Video,,,,0,44.8K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@gocnhodauyeu,,gocnhodauyeu,"600,000 ₫",Mini KOC,Mom & baby,Video,,,,0,2304,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@tamthanhthoi99,,tamthanhthoi99,"800,000 ₫",Mini KOC,Mom & baby,Video,,,,0,3047,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mehappy2025,,mehappy2025,"500,000 ₫",Mini KOC,Mom & baby,Video,,,,0,1141,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mebaudayyoga,,mebaudayyoga,"1,000,000 ₫",Mini KOC,Mom & baby,Video,,,,0,15.8K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mebena0203,,mebena0203,"800,000 ₫",Mini KOC,Mom & baby,Video,,,,0,13.6K,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@lee.hara
",,"lee.hara
",,Mini KOC,Beauty,Video,,,,0,6282,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@chanschoice_beauty
",,"chanschoice_beauty
",,Mini KOC,Beauty,Video,,,,0,12.3K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mattraicuatruc,,mattraicuatruc,,Mini KOC,Beauty,Video,,,,0,1650,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mina_mina_chann,,mina_mina_chann,"4,000,000 ₫",Massive KOC,Beauty,Video,,,,0,25.4K,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@hanhxuka2804
",,"hanhxuka2804
",,Top KOC,Beauty,Video,,,,0,579K,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@trahuongg003
",,"trahuongg003
","2,000,000 ₫",Massive KOC,Beauty,Video,,,,0,18.2K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mocduongnhan,,mocduongnhan,,Massive KOC,Beauty,Video,,,,0,58.9K,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@tue.chung1
",,"tue.chung1
",,Massive KOC,Beauty,Video,,,,0,127.8K,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@liu.bui510
",,"liu.bui510
",,Massive KOC,Beauty,Video,,,,0,297.9K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@vmngocc_,,vmngocc_,"6,000,000 ₫",Massive KOC,Beauty,Video,,,,0,23.9K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@trplinhh,,trplinhh,,Mini KOC,Beauty,Video,,,,0,9823,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@waterisme_22
",,"waterisme_22
",,Mini KOC,Beauty,Video,,,,0,9072,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@min.en.mp3
",,"min.en.mp3
","4,500,000 ₫",Massive KOC,Beauty,Video,,,,0,24.1K,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@embemeii_
",,"embemeii_
",,Massive KOC,Beauty,Video,,,,0,24.8K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hangpham_org,,hangpham_org,,Mini KOC,Beauty,Video,,,,0,10.4K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@za.hue,,za.hue,,Massive KOC,Beauty,Video,,,,0,73.6K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@maisuongdayy,,maisuongdayy,,Mini KOC,Beauty,Video,,,,0,11.2K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@ebemahong,,ebemahong,,Massive KOC,Beauty,Video,,,,0,23.3K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@ngochuyenn.01,,ngochuyenn.01,,Massive KOC,Beauty,Video,,,,0,63.2K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@_mthudagbun_,,_mthudagbun_,,Mini KOC,Beauty,Video,,,,0,4042,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@manifest.da.dep,,manifest.da.dep,,Mini KOC,Beauty,Video,,,,0,5278,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@stella_star155,,stella_star155,,Mini KOC,Beauty,Video,,,,0,1891,,,,,,,,,,,,,,,,,,,
#REF!,"https://www.tiktok.com/@huyenmiko
",,"huyenmiko
","5,000,000 ₫",Massive KOC,Beauty,Video,,,,0,58.3K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mylinh.trainghiem,,mylinh.trainghiem,,Mini KOC,Beauty,Video,,,,0,3545,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@iam.tda,,iam.tda,,Massive KOC,Beauty,Video,,,,0,88.2K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@thich.an.kem73,,thich.an.kem73,,Massive KOC,Beauty,Video,,,,0,22.2K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@linhmaau,,linhmaau,,Massive KOC,Beauty,Video,,,,0,43.1K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@ntuyen_2305,,ntuyen_2305,,Mini KOC,Beauty,Video,,,,0,1052,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,Video,,,,0,,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@lhn105_,,lhn105_,"800,000",Mini KOC,Beauty,Video,,,,0,2.9K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@ea.syy,,ea.syy,,Mini KOC,Beauty,Video,,,,0,5.47K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@quyn2w,,quyn2w,,Mini KOC,Beauty,Video,,,,0,7.45K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@ryu.tuimuntrelai,,ryu.tuimuntrelai,,Mini KOC,Beauty,Video,,,,0,3.38K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@ngochahaly,,ngochahaly,"1,000,000",Mini KOC,Beauty,Video,,,,0,1.65K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@kuromii_104,,kuromii_104,,Mini KOC,Beauty,Video,,,,0,20.1K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@uyenb_592,,uyenb_592,,Mini KOC,Beauty,Video,,,,0,"11,3k",,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@khueyeuu.daily,,khueyeuu.daily,"1,300,000",Mini KOC,Beauty,Video,,,,0,5470,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@vievlog_,,vievlog_,,Mini KOC,Beauty,Video,,,,0,19.5K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@linhnhinay1,,linhnhinay1,"900,000",Mini KOC,Beauty,Video,,,,0,1845,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@trplinhh,,trplinhh,,Mini KOC,Beauty,Video,,,,0,9.79K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@xinchaonha188,,xinchaonha188,"1,200,000",Mini KOC,Skincare,Video,,,,0,1.56K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@al_ngggg,,al_ngggg,,Mini KOC,Lifestyle,Video,,,,0,6K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@txinh69_,,txinh69_,,Mini KOC,Lifestyle,Video,,,,0,10.4K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hoailinhiudoi,,hoailinhiudoi,,Mini KOC,Lifestyle,Video,,,,0,11.4K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@linalulu_,,linalulu_,"1,100,000",Mini KOC,Lifestyle,Video,,,,0,2K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@sunnylee_923,,sunnylee_923,,Mini KOC,Lifestyle,Video,,,,0,14.7K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@nammphuongg16?_r=1&_t=ZS-96lMhOyRKo1,,nammphuongg16,"1,300,000",Mini KOC,Beauty,Video,,,,0,1477,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@tuevyllx_?_r=1&_t=ZS-96lMmECCoyb,,tuevyllx_,"1,200,000",Mini KOC,Beauty,Video,,,,0,10.3K,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@bui_nhaaaaa1107,,bui_nhaaaaa1107,"2,000,000",Massive KOC,Beauty,Video,,,,0,34.6K,,,,,,,,,,,,,,,,,,,
,,,,,,,Live,,,,,,,,,,,,,,,,,,,,,,,,
