STT,Link Tiktok,Link Tiktok,ID Tiktok,Booking Expense,Segment,Category,Type,Cost,"Extra/FOC 
(SHDA + hashtag)","Tổng Cast 
(Đã bao gồm thuế)",Booking Expense,Followers,GMV / Month,Contact,Tình trạng hợp tác,MCN note ,,,   ,Link Tiktok,ID Tiktok,Booking Expense,Segment,Concept,Type,Followers,GMV / Month,Meta Ecom note,Brand Pick,Brand note,Khu vực,Product Focus
#REF!,https://www.tiktok.com/@khanhlinh171197,,khanhlinh171197,"7,000,000",Massive KOC,Beauty,Video,,,,0,"202,4k","63,06M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@itsminhthao,,itsminhthao,,Massive KOC,Beauty,Video,,,,0,"6,91k","90,86 M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@_d.dziep11_,,_d.dziep11_,"7,000,000",Massive KOC,Beauty,Video,"3,500,000",,"3,500,000","5,833,333","247,6k","11,41M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@quantran1410,,quantran1410,"7,000,000",Massive KOC,Beauty,Video,"3,000,000",,"3,000,000","5,000,000","52,1k","11,63M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@tuthanhnehe,,tuthanhnehe,,Massive KOC,Beauty,Video,,,,0,"201,1k","14,30M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@tieungocbuofficial,,tieungocbuofficial,"24,000,000",Top KOC,Beauty,Video,"13,000,000","2,000,000","16,666,667","27,777,778",1M,"₫57,50M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@danquynh.daily,,danquynh.daily,,Massive KOC,Beauty,Video,,,,0,"172,8k","92,26M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@doanbichngoc2002,,doanbichngoc2002,"30,000,000",Massive KOC,Beauty,Video,"20,000,000",,"22,222,222","37,037,037","140,3k","15,62tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hhnguien_,,hhnguien_,"13,000,000",Top KOC,Beauty,Video,"6,500,000",,"7,222,222","12,037,037",289K,227M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@sinnguyen.official,,sinnguyen.official,,Top KOC,Beauty,Video,,,,0,"330,3k","₫142,43M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@phuonganhle305,,phuonganhle305,,Top KOC,Beauty,Video,,,,0,"756,3k","₫925,01M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hacookie__,,hacookie__,,Top KOC,Beauty,Video,,,,0,1.1M,"₫49,21M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hienshyn2312,,hienshyn2312,"6,000,000",Massive KOC,Beauty,Video,"2,000,000",,"2,000,000","3,333,333",199k,4M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@nghiabiu.6789,,nghiabiu.6789,,Massive KOC,Beauty,Video,"5,000,000",,"5,555,556","9,259,259","73,6k","409,86M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hoangmy0296,,hoangmy0296,"7,000,000",Massive KOC,Beauty,Video,,,,0,123.2k,5M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hyyeonw,,hyyeonw,"5,000,000",Top KOC,Beauty,Video,"3,000,000",,"3,000,000","5,000,000","23,4k","86,54M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@minhhuyendayroi,,minhhuyendayroi,"10,000,000",Massive KOC,Beauty,Video,,,,0,161K,62M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@_uyendo_,,_uyendo_,"5,000,000",Massive KOC,Beauty,Video,,,,0,113.2k,2.27M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@quynhtram.288,,quynhtram.288,"6,000,000",Massive KOC,Beauty,Video,"3,000,000",,"3,000,000","5,000,000",100.1k,500k,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@thuyen_huynh,,thuyen_huynh,"25,000,000",Top KOC,Beauty,Video,"20,000,000",,"22,222,222","37,037,037",219k,54M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@quynhitraan,,quynhitraan,,Top KOC,Beauty,Video,,,,0,2M,826.26M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@khanhngan.ng,,khanhngan.ng,"32,000,000",Top KOC,Beauty,Video,"26,000,000",,"28,888,889","48,148,148",,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@nt.ttruc,,nt.ttruc,"2,000,000",Massive KOC,Beauty,Video,"600,000",,"600,000","1,000,000",68K,69M,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@vittien_woo,,vittien_woo,"9,000,000",Massive KOC,Beauty,Video,,,,0,"101,9k","22,01M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@yiukan_,,yiukan_,"8,000,000",Massive KOC,Beauty,Video,"5,000,000",,"5,555,556","9,259,259","89,1k","3,85M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@emtamdunggi,,emtamdunggi,"7,000,000",Massive KOC,Beauty,Video,"3,500,000",,"3,500,000","5,833,333","35,7k","161,76M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@juniangan,,juniangan,,Massive KOC,Beauty,Video,,,,0,"94,3k","16,60M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@midintr,,midintr,"6,000,000",Massive KOC,Beauty,Video,"3,000,000",,"3,000,000","5,000,000",40k,"₫85,22tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hongnhungg1911,,hongnhungg1911,,Massive KOC,Beauty,Video,,,,0,"53,2k","₫390,41tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@datrmy,,datrmy,"5,000,000",Massive KOC,Beauty,Video,"2,500,000",,"2,500,000","4,166,667","80,5k","₫48,03tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@thinhdamne,,thinhdamne,"21,000,000",Massive KOC,Beauty,Video,"14,000,000",,"15,555,556","25,925,926","35,7k","₫165,55tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@ _imhanatran,, _imhanatran,,,Beauty,,,,,0,,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@sooyunn___,,sooyunn___,"10,000,000",Top KOC,Beauty,Video,"5,000,000",,"5,555,556","9,259,259",305k,"77,34M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@yuldaily,,yuldaily,"30,000,000",Top KOC,Beauty,Video,"18,000,000",,"20,000,000","33,333,333","581,7k",0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@kim.luyen_laplalaplanh,,kim.luyen_laplalaplanh,"16,000,000",Top KOC,Beauty,Video,"10,000,000",,"11,111,111","18,518,519","262,5k","₫63,06tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hiquang.8,,hiquang.8,"10,000,000",Top KOC,Beauty,Video,"5,000,000",,"5,555,556","9,259,259","125,3k","	₫138,57tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@mykhanh.phan1009,,mykhanh.phan1009,"5,000,000",Massive KOC,Beauty,Video,"2,000,000",,"2,000,000","3,333,333","34,2k","₫126,39tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@iamzrun,,iamzrun,"10,000,000",Top KOC,Beauty,Video,"5,500,000",,"6,111,111","10,185,185","106,8k","₫1,54tỉ",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@rinabeauty859,,rinabeauty859,,Top KOC,Beauty,Video,,,,0,,,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@hn.nhathaday,,hn.nhathaday,,Top KOC,Beauty,Video,,,,0,"298,2k","₫764,76M",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@nhucuynh,,nhucuynh,"26,000,000",Top KOC,Beauty,Video,"20,000,000",,"22,222,222","37,037,037",281k,0,,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@dahohah,,dahohah,"7,000,000",Top KOC,Beauty,Video,"3,500,000",,"3,500,000","5,833,333","74,6k","₫436,64tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@manman_sayhi,,manman_sayhi,"14,000,000",Top KOC,Beauty,Video,"8,000,000","500,000","9,444,444","15,740,741","113,8k","₫284,68tr",,,,,,,,,,,,,,,,,,
#REF!,https://www.tiktok.com/@kaityy.__,,kaityy.__,"20,000,000",Massive KOC,Beauty,Video,"14,000,000",,"15,555,556","25,925,926",132k,0,,,,,,,,,,,,,,,,,,
